Orientation Trunk AP,Orientation Thigh AP,Orientation Shank AP,Orientation Trunk ML,Orientation Thigh ML,Orientation Shank ML,Angle Hip,Angle Knee,Angle Ankle,Hyperextend Hip,Hyperextend Knee,Ang Velocity Knee,Ang Velocity Hip,Ang Velocity Ankle,STS Phase,Horiz Disp,Verti Disp,Horiz Vel,Verti Vel,Trunk Jerk - Ang,Thigh Jerk - Ang,Shank Jerk - Ang,Tri Osc,,
-8.00129,-73.96208,20.45632,7.54723,60.00000,5.50960,65.96079,53.50576,0.00000,0.00000,0.00000,0.01095,0.05561,0.00327,0.00000,0.32911,0.61025,0.01076,0.00744,0.23337,0.18698,0.14834,0.35000,,
-7.96036,-73.96814,20.47500,7.55277,60.00000,5.48401,66.00777,53.49314,0.00000,0.00000,0.00000,0.01262,0.04698,0.01868,0.00000,0.32925,0.61020,0.01490,0.00482,0.14922,0.90383,0.50224,0.34000,,
-7.92480,-73.98490,20.50792,7.55629,60.00000,5.47212,66.06010,53.47698,0.00000,0.00000,0.00000,0.01616,0.05232,0.03292,0.00000,0.32942,0.61004,0.01619,0.01622,0.14742,0.58707,0.30466,0.33000,,
-7.88778,-74.00085,20.53136,7.56180,60.00000,5.45410,66.11308,53.46949,0.00000,0.00000,0.00000,0.00749,0.05298,0.02345,0.00000,0.32956,0.60990,0.01434,0.01348,0.19286,0.33820,0.09186,0.32000,,
-7.85113,-74.00280,20.54856,7.56751,60.00000,5.43502,66.15167,53.45425,0.00000,0.00000,0.00000,0.01524,0.03860,0.01719,0.00000,0.32970,0.60989,0.01369,0.00193,0.07283,0.11131,0.07319,0.31000,,
-7.81507,-74.00323,20.55140,7.57753,60.00000,5.41036,66.18816,53.45183,0.00000,0.00000,0.00000,0.00242,0.03648,0.00285,0.00000,0.32980,0.60991,0.01018,0.00219,0.08097,0.22653,0.02797,0.30000,,
-7.77993,-74.00132,20.55622,7.58868,60.00000,5.39110,66.22139,53.44510,0.00000,0.00000,0.00000,0.00673,0.03323,0.00482,0.00000,0.32990,0.60994,0.01057,0.00340,0.16660,0.36250,0.08461,0.29000,,
-7.74578,-74.00026,20.52571,7.60134,60.00000,5.37511,66.25448,53.47455,0.00000,0.00000,0.00000,0.02945,0.03309,0.03051,0.00000,0.32992,0.61004,0.00175,0.01026,0.15300,0.32625,0.04382,0.28000,,
-7.71026,-73.99892,20.50757,7.60754,60.00000,5.35597,66.28865,53.49134,0.00000,0.00000,0.00000,0.01680,0.03417,0.01814,0.00000,0.32997,0.61012,0.00511,0.00792,0.05816,0.09180,0.09577,0.27000,,
-7.67709,-73.99850,20.50704,7.61442,60.00000,5.32815,66.32141,53.49147,0.00000,0.00000,0.00000,0.00012,0.03276,0.00053,0.00000,0.33006,0.61016,0.00867,0.00324,0.15380,0.08798,0.13954,0.26000,,
-7.64226,-73.99731,20.51689,7.61445,60.00000,5.31810,66.35505,53.48042,0.00000,0.00000,0.00000,0.01105,0.03364,0.00985,0.00000,0.33018,0.61017,0.01166,0.00172,0.07159,0.36741,0.08097,0.25000,,
-7.62543,-73.99789,20.54959,7.61518,60.00000,5.31753,66.37247,53.44830,0.00000,0.00000,0.00000,0.03212,0.01742,0.03270,0.00000,0.33030,0.61011,0.01228,0.00603,0.10583,0.32248,0.13644,0.24000,,
-7.62449,-73.99699,20.58420,7.60356,60.00000,5.33194,66.37250,53.41279,0.00000,0.00000,0.00000,0.03551,0.00003,0.03460,0.00000,0.33039,0.61005,0.00864,0.00671,0.19344,0.63809,0.05940,0.23000,,
-7.63979,-73.99680,20.61604,7.59671,60.00000,5.33636,66.35701,53.38076,0.00000,0.00000,0.00000,0.03203,0.01549,0.03184,0.00000,0.33042,0.60997,0.00363,0.00802,0.10194,0.54367,0.12072,0.22000,,
-7.65718,-73.99448,20.64903,7.59751,60.00000,5.33622,66.33730,53.34545,0.00000,0.00000,0.00000,0.03531,0.01971,0.03299,0.00000,0.33046,0.60990,0.00349,0.00690,0.09926,0.19532,0.22669,0.21000,,
-7.67372,-73.99460,20.67261,7.60053,60.00000,5.34067,66.32088,53.32199,0.00000,0.00000,0.00000,0.02346,0.01642,0.02358,0.00000,0.33047,0.60983,0.00129,0.00659,0.29654,0.14749,0.23932,0.20000,,
-7.67595,-73.99426,20.67638,7.62117,60.00000,5.33273,66.31831,53.31788,0.00000,0.00000,0.00000,0.00411,0.00257,0.00377,0.00000,0.33047,0.60982,0.00034,0.00076,0.23896,0.16587,0.08193,0.19000,,
-7.67486,-73.99832,20.67432,7.64273,60.00000,5.31827,66.32346,53.32400,0.00000,0.00000,0.00000,0.00612,0.00514,0.00206,0.00000,0.33047,0.60980,0.00048,0.00243,0.25472,0.15391,0.15489,0.18000,,
