Orientation Trunk AP,Orientation Thigh AP,Orientation Shank AP,Orientation Trunk ML,Orientation Thigh ML,Orientation Shank ML,Angle Hip,Angle Knee,Angle Ankle,Hyperextend Hip,Hyperextend Knee,Ang Velocity Knee,Ang Velocity Hip,Ang Velocity Ankle,STS Phase,Horiz Disp,Verti Disp,Horiz Vel,Verti Vel,Trunk Jerk - Ang,Thigh Jerk - Ang,Shank Jerk - Ang,Tri Osc,,
-7.34859,-72.90170,22.32571,7.44173,60.00000,3.31699,65.55311,50.57600,0.00000,0.00000,0.00000,0.01684,0.03697,0.01718,0.00000,0.33605,0.61437,0.00581,0.00729,1.81511,3.67038,0.27750,0.38000,,
-7.33902,-72.91295,22.29630,7.40572,60.00000,3.29418,65.57393,50.61665,0.00000,0.00000,0.00000,0.04065,0.02082,0.02940,0.00000,0.33600,0.61437,0.00528,0.00058,0.78968,2.50670,0.24590,0.39000,,
-7.34142,-72.91862,22.25758,7.40095,60.00000,3.28426,65.57719,50.66104,0.00000,0.00000,0.00000,0.04440,0.00327,0.03873,0.00000,0.33589,0.61441,0.01026,0.00467,1.04555,1.31823,0.23998,0.40000,,
-7.33975,-72.92282,22.21335,7.40780,60.00000,3.27919,65.58307,50.70947,0.00000,0.00000,0.00000,0.04842,0.00587,0.04422,0.00000,0.33579,0.61449,0.01039,0.00733,0.68344,0.42385,0.17961,0.41000,,
-7.33089,-72.93028,22.17163,7.40766,60.00000,3.27536,65.59939,50.75865,0.00000,0.00000,0.00000,0.04919,0.01632,0.04172,0.00000,0.33571,0.61454,0.00812,0.00494,1.38434,2.47494,0.36816,0.42000,,
-7.31493,-72.95119,22.12765,7.41281,60.00000,3.27459,65.63627,50.82355,0.00000,0.00000,0.00000,0.06490,0.03688,0.04399,0.00000,0.33563,0.61450,0.00776,0.00378,1.72454,1.18161,0.23825,0.43000,,
-7.28436,-72.98788,22.08764,7.41401,60.00000,3.27457,65.70351,50.90024,0.00000,0.00000,0.00000,0.07669,0.06725,0.04001,0.00000,0.33559,0.61435,0.00409,0.01504,1.38687,0.91146,0.88559,0.44000,,
-7.24253,-73.01946,22.04985,7.42802,60.00000,3.28064,65.77694,50.96961,0.00000,0.00000,0.00000,0.06937,0.07343,0.03778,0.00000,0.33559,0.61424,0.00021,0.01096,0.97490,0.41594,0.18160,0.45000,,
-7.20484,-73.04967,22.01720,7.44099,60.00000,3.28761,65.84483,51.03247,0.00000,0.00000,0.00000,0.06286,0.06789,0.03265,0.00000,0.33559,0.61412,0.00002,0.01150,0.38033,0.86281,0.47127,0.46000,,
-7.16670,-73.05119,21.98307,7.45501,60.00000,3.29413,65.88448,51.06811,0.00000,0.00000,0.00000,0.03564,0.03966,0.03412,0.00000,0.33561,0.61422,0.00185,0.00975,0.76424,1.13548,0.42510,0.47000,,
